기간	자치구	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)
기간	자치구	공원	공원	도시공원	도시공원	생활권 공원	생활권 공원
기간	자치구	면적	1인당공원면적	면적	1인당도시공원면적	면적	1인당생활권공원면적
2017	서울시	168,374.6	16.6	114,990.9	11.4	55,627.6	5.5
2017	종로구	11,569.7	70.4	6,448.6	39.3	3,055.9	18.6
2017	중구	3,132.0	23.3	3,082.4	22.9	1,453.7	10.8
2017	용산구	1,794.1	7.3	781.7	3.2	1,657.2	6.8
2017	성동구	3,101.4	9.9	1,260.0	4	2,973.9	9.5
2017	광진구	3,359.2	9	2,913.1	7.8	1,234.4	3.3
2017	동대문구	1,275.6	3.5	1,033.5	2.8	1,192.5	3.3
2017	중랑구	5,206.5	12.6	5,023.8	12.2	1,723.8	4.2
2017	성북구	8,338.1	18.3	4,415.7	9.7	2,195.2	4.8
2017	강북구	14,337.6	43.7	2,280.2	7	2,145.1	6.5
2017	도봉구	10,083.6	29.1	1,165.9	3.4	1,276.2	3.7
2017	노원구	14,337.7	25.7	13,850.2	24.8	2,794.1	5
2017	은평구	13,997.9	28.5	6,228.9	12.7	1,251.8	2.6
2017	서대문구	5,136.2	15.8	4,898.2	15.1	1,648.0	5.1
2017	마포구	4,439.9	11.5	3,126.8	8.1	4,312.6	11.2
2017	양천구	2,909.9	6.1	2,487.3	5.2	1,886.6	4
2017	강서구	4,329.3	7.1	3,244.9	5.3	3,665.6	6
2017	구로구	3,190.6	7.2	2,868.7	6.5	1,337.9	3
2017	금천구	2,206.2	8.7	2,042.2	8.1	404.1	1.6
2017	영등포구	3,092.6	7.7	746.1	1.9	2,966.0	7.4
2017	동작구	4,585.7	11.2	4,391.7	10.8	3,123.9	7.7
2017	관악구	10,975.7	21.1	10,969.2	21.1	1,282.7	2.5
2017	서초구	15,883.2	35.7	15,079.8	33.9	2,287.0	5.1
2017	강남구	6,591.7	11.8	5,302.0	9.5	3,565.4	6.4
2017	송파구	4,445.7	6.6	1,837.7	2.7	4,222.8	6.3
2017	강동구	3,384.6	7.7	2,842.4	6.5	1,971.2	4.5
2017	서울대공원	6,670.0	-	6,670.0	-	-	-
2018	서울시	168,843.3	16.8	115,463.6	11.5	56,848.8	5.7
2018	종로구	11,555.8	70.9	6,432.5	39.5	3,053.6	18.7
2018	중구	3,132.0	23.1	3,082.4	22.7	1,458.7	10.8
2018	용산구	1,795.6	7.3	781.7	3.2	1,658.7	6.8
2018	성동구	3,102.1	9.8	1,260.7	4	2,980.4	9.4
2018	광진구	3,363.0	9.1	2,916.4	7.9	1,237.9	3.3
2018	동대문구	1,275.8	3.5	1,033.7	2.8	1,197.1	3.3
2018	중랑구	5,206.3	12.8	5,023.7	12.3	1,726.2	4.2
2018	성북구	8,342.4	18.6	4,420.0	9.9	2,209.9	4.9
2018	강북구	14,346.7	44.4	2,291.8	7.1	2,147.8	6.7
2018	도봉구	10,075.3	29.5	1,163.8	3.4	1,319.8	3.9
2018	노원구	14,337.7	26.2	13,850.2	25.3	3,054.6	5.6
2018	은평구	13,997.9	28.7	6,228.9	12.8	1,253.9	2.6
2018	서대문구	5,136.1	15.9	4,898.2	15.2	1,664.4	5.2
2018	마포구	4,439.9	11.5	3,126.7	8.1	4,315.4	11.2
2018	양천구	2,909.8	6.2	2,487.3	5.3	1,886.6	4
2018	강서구	4,329.3	7.2	3,244.9	5.4	4,225.5	7
2018	구로구	3,327.7	7.6	3,005.9	6.9	1,431.1	3.3
2018	금천구	2,206.2	8.7	2,042.2	8	406.2	1.6
2018	영등포구	3,091.1	7.7	746.1	1.8	2,969.0	7.4
2018	동작구	4,585.4	11.2	4,391.3	10.7	3,128.7	7.6
2018	관악구	10,977.1	21.1	10,970.6	21.1	1,282.7	2.5
2018	서초구	16,036.3	36.6	15,230.5	34.8	2,443.8	5.6
2018	강남구	6,591.7	12	5,302.0	9.7	3,565.4	6.5
2018	송파구	4,642.1	6.9	2,034.2	3	4,274.7	6.3
2018	강동구	3,370.0	7.8	2,827.7	6.5	1,956.6	4.5
2018	서울대공원	6,670.0	-	6,670.0	-	-	-
2019	서울시	168,896.8	16.9	115,481.0	11.5	57,113.6	5.7
2019	종로구	11,556.1	71.4	6,433.0	39.7	3,056.4	18.9
2019	중구	3,155.1	23.1	3,082.7	22.6	1,482.4	10.9
2019	용산구	1,779.6	7.3	763.1	3.1	1,661.2	6.8
2019	성동구	3,100.0	10	1,257.1	4.1	2,986.0	9.7
2019	광진구	3,363.5	9.2	2,916.4	7.9	1,238.3	3.4
2019	동대문구	1,275.1	3.5	1,033.0	2.8	1,199.6	3.3
2019	중랑구	5,205.3	12.9	5,022.6	12.5	1,725.1	4.3
2019	성북구	8,329.4	18.3	4,407.0	9.7	2,225.9	4.9
2019	강북구	14,342.3	45.1	2,287.4	7.2	2,155.1	6.8
2019	도봉구	10,075.0	30	1,163.5	3.5	1,319.8	3.9
2019	노원구	14,344.4	26.7	13,848.1	25.8	3,061.6	5.7
2019	은평구	13,991.6	28.9	6,223.4	12.8	1,265.8	2.6
2019	서대문구	5,143.3	15.9	4,904.8	15.2	1,672.7	5.2
2019	마포구	4,440.0	11.5	3,126.9	8.1	4,321.7	11.2
2019	양천구	2,912.0	6.3	2,489.5	5.4	1,891.8	4.1
2019	강서구	4,370.3	7.3	3,285.9	5.5	4,239.0	7.1
2019	구로구	3,336.1	7.6	3,014.4	6.9	1,441.8	3.3
2019	금천구	2,206.2	8.8	2,042.2	8.1	406.2	1.6
2019	영등포구	3,050.4	7.6	705.6	1.8	2,975.3	7.4
2019	동작구	4,584.2	11.2	4,390.2	10.7	3,128.0	7.6
2019	관악구	10,976.9	21.2	10,970.4	21.2	1,287.0	2.5
2019	서초구	16,081.0	37	15,274.2	35.1	2,446.8	5.6
2019	강남구	6,594.3	12	5,304.7	9.6	3,566.1	6.5
2019	송파구	4,644.8	6.8	2,037.6	3	4,278.4	6.3
2019	강동구	3,369.8	7.7	2,827.5	6.4	2,081.5	4.7
2019	서울대공원	6,670.0	-	6,670.0	-	-	-
