시군구코드,시군구_x,시군구_y
11110,954859.306142,1953755.137542
11140,955931.027850,1951525.995290
11170,954122.014984,1948855.182637
11200,959571.250766,1950600.863082
11215,963032.466631,1949995.741229
11230,960510.830926,1953848.331974
11260,963545.305543,1955036.957192
11290,958210.243905,1955922.741583
11305,957821.096503,1959252.104718
11320,959131.211635,1962256.032125
11350,962276.724528,1961092.720126
11380,948688.110742,1956680.036313
11410,950330.745599,1953108.944731
11440,949324.897609,1950725.438059
11470,942730.539401,1947986.407955
11500,941591.542907,1950249.397326
11530,943944.566884,1944160.019278
11545,947097.563095,1940589.559356
11560,947363.966443,1945968.514766
11590,951293.770247,1944429.716521
11620,950227.962095,1942291.412601
11650,956914.145287,1942981.357213
11680,959987.682493,1945048.041581
11710,966340.007828,1945036.409605
11740,968056.650466,1949402.812965
26110,1139440.054414,1679948.521735
26140,1138335.854809,1679378.427124
26170,1140768.960505,1682762.133618
26200,1141653.515330,1677999.390127
26230,1141114.836259,1686086.420358
26260,1144267.820728,1690996.668659
26290,1144538.423981,1682775.149841
26320,1137730.553180,1691784.888664
26350,1150158.327875,1690259.889783
26380,1135116.737038,1678166.655754
26410,1145147.485306,1695064.603333
26440,1128450.961240,1685024.837385
26470,1144446.548071,1688598.793095
26500,1146854.254810,1686601.576718
26530,1135444.400787,1685837.006268
26710,1156035.493215,1700568.705799
27110,1098782.267937,1763838.909914
27140,1104646.516802,1766989.900365
27170,1095852.652827,1764727.404064
27200,1097780.816397,1761409.820613
27230,1097759.047998,1768274.005396
27260,1102535.817885,1761643.665688
27290,1093399.088330,1760744.019633
27710,1087421.633280,1752585.939941
28110,916860.290466,1941823.264033
28140,923883.941504,1942477.551395
28177,926342.627270,1939961.939455
28185,926149.294995,1935634.423309
28200,930614.077890,1937869.603024
28237,930847.794199,1944510.772993
28245,931943.696903,1949742.071983
28260,925915.042204,1950010.561697
28710,905494.624381,1968793.945265
28720,848218.697911,1949466.621370
29110,947828.701640,1683473.561422
29140,942460.423600,1683764.097864
29155,944368.138293,1681302.998982
29170,945888.616116,1687785.660162
29200,934990.848994,1685977.316747
30110,995187.696036,1814799.674373
30140,992295.072161,1813065.854739
30170,988226.246303,1813587.283269
30200,985543.156576,1818762.244617
30230,993332.705332,1821612.679567
31110,1165081.969085,1731128.811836
31140,1165272.885575,1727249.598015
31170,1174535.587055,1724852.855467
31200,1169497.577738,1735602.027496
31710,1154842.628296,1726626.933204
36110,979272.776149,1841076.296891
41111,955953.343994,1922410.274406
41113,955068.133605,1918092.454719
41115,957167.246874,1919943.488774
41117,960536.329487,1918639.359489
41131,967754.795165,1938457.533094
41133,969630.666953,1937850.093044
41135,965893.490389,1931305.907927
41150,960806.176902,1971163.424604
41171,948324.839000,1933618.771700
41173,952038.916950,1932876.369487
41190,937054.819119,1944716.161506
41210,943566.483226,1940544.652766
41220,957047.000206,1891512.915383
41250,961152.406356,1990280.897441
41271,943695.642278,1923760.580097
41273,932596.680716,1922749.189097
41281,943807.357826,1961746.302742
41285,938084.008920,1964935.795863
41287,932632.931882,1965418.062324
41290,955921.612112,1937550.396959
41310,967807.834503,1956074.515454
41360,976168.843710,1961760.331919
41370,960922.791523,1906738.521862
41390,935848.508316,1932295.770614
41410,950335.415611,1928593.037748
41430,953425.514133,1928526.675321
41450,973194.541250,1947915.018446
41461,977220.479454,1913440.816526
41463,966089.293669,1918925.503248
41465,962810.790656,1926119.731628
41480,938940.545740,1978949.444500
41500,998316.701366,1914167.526915
41550,981177.917333,1892640.300620
41570,923330.425481,1962999.786750
41590,945836.313479,1907096.422669
41610,980427.106256,1931923.511248
41630,957004.926858,1980662.931592
41650,975917.981408,1991159.043700
41670,1009523.694513,1922107.634961
41800,959557.883025,2006812.044482
41820,995306.093884,1976453.609195
