공원번호,공원명,개원일,이미지,지역,공원주소,전화번호,X좌표,Y좌표,바로가기
1,남산도시자연공원,1968.9.10,http://parks.seoul.go.kr/file/info/view.do?fIdx=1884,중구,서울특별시 중구 삼일대로 231(예장동),02-3783-5900,126.9903773,37.5501402,http://parks.seoul.go.kr/template/sub/namsan.do
3,길동생태공원,1999.5.20,http://parks.seoul.go.kr/file/info/view.do?fIdx=1885,강동구,서울특별시 강동구 천호대로 1291(길동생태공원) ,02-489-2770,127.1547791,37.5403935,http://parks.seoul.go.kr/template/sub/gildong.do
4,서울대공원,1984.5.1,http://parks.seoul.go.kr/file/info/view.do?fIdx=1886,과천시,경기도 과천시 대공원광장로 102,02-500-7032,127.01984650000001,37.4264494,http://grandpark.seoul.go.kr/
5,서울숲,2005.6.18,http://parks.seoul.go.kr/file/info/view.do?fIdx=1887,성동구,서울특별시 성동구 뚝섬로 273 (성수동1가) ,02-460-2905 ,127.0417982,37.5430717,http://parks.seoul.go.kr/template/sub/seoulforest.do
6,월드컵공원,2002.5.1,http://parks.seoul.go.kr/file/info/view.do?fIdx=1888,마포구,서울특별시 마포구 하늘공원로 84(월드컵공원),02-300-5500,126.87890700000001,37.571805,http://parks.seoul.go.kr/template/sub/worldcuppark.do
12,광화문시민열린마당,1999.1.1,http://parks.seoul.go.kr/file/info/view.do?fIdx=1890,종로구,서울특별시 종로구 세종로 76-2,02-2148-2843,126.9780227,37.575044899999995,-
13,진관근린공원(구파발폭포),1997.10.1,http://parks.seoul.go.kr/file/info/view.do?fIdx=1891,은평구,서울특별시 은평구 진관동 393,02-351-8004,126.9192155,37.6370244,-
16,중마루근린공원,1997.11.25 ,http://parks.seoul.go.kr/file/info/view.do?fIdx=1893,영등포구,서울특별시 영등포구 영등포동2가 222,02-2670-3717,126.9112668,37.519832,-
17,응봉공원,2003.2.21 ,http://parks.seoul.go.kr/file/info/view.do?fIdx=1894,성동구,서울특별시 성동구 금호동1가 산1-72,02-2293-7646,127.0217653,37.5572281,-
18,매화근린공원,1998.6.18 ,http://parks.seoul.go.kr/file/info/view.do?fIdx=1895,강서구,서울특별시 강서구 등촌동 630-14,02-2600-4181,126.86115,37.5575833,-
19,성수근린공원,1998.5.28 ,http://parks.seoul.go.kr/file/info/view.do?fIdx=1896,성동구,서울특별시 성동구 성수2가 3동 302-25,02-2286-5657,127.05240230000001,37.5448144,-
20,샛마을근린공원,1999.5.31,http://parks.seoul.go.kr/file/info/view.do?fIdx=1897,강동구,서울특별시 강동구 명일1동 288,02-3425-6444,127.1471618,37.5504807,-
21,여의도근린공원,1999.1.24 ,http://parks.seoul.go.kr/file/info/view.do?fIdx=1898,영등포구,서울특별시 영등포구 여의공원로 68 (여의도동),02-761-4078~9,126.922377,37.526129,http://parks.seoul.go.kr/template/sub/yeouido.do
22,간데메근린공원,,http://parks.seoul.go.kr/file/info/view.do?fIdx=1899,동대문구,서울특별시 동대문구 서울시립대로2길 59(간데메공원),02-2249-2770,127.04886440000001,37.57324379999999,-
23,훈련원근린공원,1997.6.30,http://parks.seoul.go.kr/file/info/view.do?fIdx=1900,중구,서울특별시 중구 을지로 227,02-3396-5894,127.0038188,37.5675245,-
24,영등포근린공원,1998.7.8,http://parks.seoul.go.kr/file/info/view.do?fIdx=1901,영등포구,서울특별시 영등포구 신길로 275,02-2670-3716,126.91066200000002,37.515423,-
25,보라매근린공원,1986.5.5,http://parks.seoul.go.kr/file/info/view.do?fIdx=1902,동작구,서울특별시 동작구 여의대방로20길 33(보라매공원),02-2181-1191~1195,126.91828899999999,37.492333,http://parks.seoul.go.kr/template/sub/boramae.do
26,어린이대공원,1973.5.5 ,http://parks.seoul.go.kr/file/info/view.do?fIdx=1903,광진구,서울특별시 광진구 능동로 216(어린이대공원),02-450-9311,127.0809212,37.5498987,http://www.sisul.or.kr/open_content/childrenpark/
27,천호근린공원,1998.6.20 ,http://parks.seoul.go.kr/file/info/view.do?fIdx=1904,강동구,서울특별시 강동구 올림픽로 702(천호공원),02-489-2776,127.1263451,37.5444741,http://parks.seoul.go.kr/template/sub/cheonho.do
29,용산가족공원,1992.11.5 ,http://parks.seoul.go.kr/file/info/view.do?fIdx=1905,용산구,서울특별시 용산구 서빙고로 185,02-792-5660,126.98333500000001,37.522226,-
30,독립근린공원,1992.8.15,http://parks.seoul.go.kr/file/info/view.do?fIdx=1907,서대문구,서울특별시 서대문구 통일로251(독립공원),02-364-4686,126.956771,37.5738289,-
